281888	0.15
281865	0.15
281849	0.15
281813	0.15
281785	0.15
281778	0.15
281728	0.15
281715	0.15
281700	0.15
281647	0.15
281646	0.15
281627	0.15
281593	0.15
281585	0.15
281581	0.15
281574	0.15
281573	0.15
281567	0.15
281559	0.15
281537	0.15
281536	0.15
281523	0.15
281514	0.15
281498	0.15
281492	0.15
281485	0.15
281474	0.15
281466	0.15
281443	0.15
281424	0.15
281422	0.15
281393	0.15
281332	0.15
281318	0.15
281307	0.15
281291	0.15
281286	0.15
281265	0.15
281223	0.15
281221	0.15
281219	0.15
281197	0.15
281183	0.15
281181	0.15
281152	0.15
281113	0.15
281105	0.15
281100	0.15
281079	0.15
281077	0.15
281068	0.15
281066	0.15
281040	0.15
281032	0.15
280982	0.15
280926	0.15
280921	0.15
280904	0.15
280900	0.15
280845	0.15
280832	0.15
280815	0.15
280770	0.15
280754	0.15
280748	0.15
280741	0.15
280732	0.15
280723	0.15
280720	0.15
280702	0.15
280669	0.15
280662	0.15
280637	0.15
280633	0.15
280616	0.15
280611	0.15
280597	0.15
280588	0.15
280581	0.15
280555	0.15
280523	0.15
280518	0.15
280512	0.15
280507	0.15
280506	0.15
280490	0.15
280471	0.15
280466	0.15
280456	0.15
280411	0.15
280400	0.15
280386	0.15
280380	0.15
280378	0.15
280376	0.15
280375	0.15
280326	0.15
280313	0.15
280283	0.15
280282	0.15
280271	0.15
280261	0.15
280254	0.15
280246	0.15
280245	0.15
280242	0.15
280230	0.15
280224	0.15
280209	0.15
280207	0.15
280202	0.15
280198	0.15
280181	0.15
280146	0.15
280143	0.15
280138	0.15
280137	0.15
280135	0.15
280111	0.15
280092	0.15
280082	0.15
280075	0.15
280074	0.15
280071	0.15
280068	0.15
280065	0.15
280052	0.15
280049	0.15
280035	0.15
280002	0.15
279994	0.15
279971	0.15
279968	0.15
279965	0.15
279958	0.15
279896	0.15
279887	0.15
279866	0.15
279865	0.15
279848	0.15
279846	0.15
279845	0.15
279806	0.15
279796	0.15
279788	0.15
279787	0.15
279772	0.15
279763	0.15
279758	0.15
279721	0.15
279713	0.15
279693	0.15
279682	0.15
279675	0.15
279660	0.15
279651	0.15
279626	0.15
279622	0.15
279611	0.15
279605	0.15
279600	0.15
279584	0.15
279567	0.15
279547	0.15
279530	0.15
279512	0.15
279511	0.15
279496	0.15
279478	0.15
279459	0.15
279453	0.15
279418	0.15
279379	0.15
279370	0.15
279364	0.15
279335	0.15
279331	0.15
279321	0.15
279320	0.15
279281	0.15
279269	0.15
279264	0.15
